%id,name,mfcc,scem,scom,srom,sbwm,tempo,rmse
1,'Till I Collapse.mp3,7.283615702,2674.774992,19.87695238,5288.601354,2482.27942,86.1328125,8.857639313
2,A Milli.mp3,0.319868183,2984.144801,21.8432177,6185.670929,2719.48005,103.359375,7.212767601
3,All The Way Up (Remix).mp3,-1.639083191,2541.987379,21.93848198,5268.393143,2485.670784,117.4538352,5.651818752
4,Antidote.mp3,3.710087767,2866.04269,21.82841205,6488.544098,2923.624559,129.1992188,8.435676575
5,Bass Drops.mp3,6.87156901,3265.729849,18.02237691,6920.224821,2892.176405,151.9990809,8.614811897
6,Blood On The Leaves.mp3,3.537371728,2468.380158,20.97931408,5221.035096,2480.063693,172.265625,8.328921318
7,Burnin.mp3,8.441056827,2779.745795,20.46871947,5930.573883,2635.431639,129.1992188,8.351864815
8,California Love - Original Mix (Explicit).mp3,4.593959536,3189.50491,20.62067681,6465.985901,2754.337726,92.28515625,6.914132118
9,Champions.mp3,7.399305399,2704.812856,20.72413468,5909.914264,2721.391768,135.9991776,9.70543766
10,Chill Bill REMIX.mp3,6.456714281,2075.187614,22.28350808,4542.789197,2507.127646,107.6660156,8.448152542
11,Dirty Deeds Done Dirt Cheap.mp3,3.628630505,2478.26634,21.17710015,4717.313142,2150.828643,135.9991776,5.525505543
12,Down With The Sickness.mp3,5.424994519,2957.405391,18.86186454,5826.18977,2584.691158,89.10290948,4.327246666
13,Enter Sandman.mp3,5.737571003,3099.856225,19.66924153,6130.771261,2644.760694,123.046875,4.235799789
14,Feel Invincible.mp3,9.199405738,2949.954594,19.29985933,5858.081244,2535.590137,123.046875,7.821331501
15,Five Hours.mp3,9.183096102,2913.509325,19.13154621,6547.635407,2911.548715,129.1992188,10.69928169
16,Flashlight - Original Mix.mp3,4.946143863,3269.909696,18.94688532,6790.467272,2814.515706,129.1992188,8.175726891
17,Forever.mp3,6.607135885,2305.611288,19.34260646,4870.77888,2399.953067,135.9991776,9.426009178
18,Grindin'.mp3,6.131867916,2267.592975,20.39318506,4803.395955,2411.329225,112.3471467,7.357149124
19,Hate Me Now.mp3,7.169419286,2579.330403,20.62653095,5457.491999,2589.843157,89.10290948,7.694087982
20,Ima Boss - feat. Rick Ross.mp3,9.940470206,3225.725217,20.2923237,6988.391075,2954.992152,107.6660156,9.51019001
21,Last Resort.mp3,8.464172223,2877.39552,19.60147539,5647.524184,2554.428955,92.28515625,7.803962708
22,Lockjaw.mp3,8.680687743,2887.006807,20.95210348,6251.953862,2848.899864,112.3471467,9.275878906
23,Look Alive - Remix.mp3,8.176139778,2384.1208,20.04272745,5287.60136,2648.768499,117.4538352,8.609834671
